filename,edit_time
04112022004224-lord-of-flies.md,2022-05-02T04:53:31.868
05222022044134-normal-science.md,2022-05-22T05:05:52.573
05222022044626-kuhnian-paradigm.md,2022-05-22T05:07:44.083
05222022044910-downfall-kuhnian-paradigm.md,2022-05-22T05:09:30.888
05222022045723-scientific-revolutions.md,2022-05-22T05:11:13.991
05222022045931-new-paradigms.md,2022-05-22T05:13:04.79
05222022050357-non-linearity-science.md,2022-05-22T05:15:10.061
07222020181007-famous-quotes.md,2022-05-22T05:25:21.273
01072021082043-book-of-why.md,2022-05-13T04:45:44.735
04102022034503-othello.md,2022-05-12T03:56:59.984
04162022002725-mathematician-gender-rethinking.md,2022-05-02T04:53:31.868
04172022033744-open-knowledge-standard.md,2022-05-03T04:46:24.442
04202022021854-picture-dorian-gray.md,2022-05-03T05:06:19.557
05072022162026-personal-faith-perspectives.md,2022-05-07T16:24:32.362
05152022174848-structure-revolutions.md,2022-05-22T05:16:19.842
12262020224653-death-salesman.md,2022-05-13T05:13:35.533
